Job_Title,Job_Category,Skill,Job_Count
Managing Data Scientist/ML Engineer,Data Scientist,spark,1
Managing Data Scientist/ML Engineer,Data Scientist,excel,1
Managing Data Scientist/ML Engineer,Data Scientist,SQL,1
Managing Data Scientist/ML Engineer,Data Scientist,hadoop,1
Managing Data Scientist/ML Engineer,Data Scientist,mongo,1
Product Engineer – Spatial Data Science and Statistical Analysis,Data Scientist,Python,1
Managing Data Scientist/ML Engineer,Data Scientist,tableau,1
"Associate, Data Science, Internal Audit",Data Scientist,Python,1
"Associate, Data Science, Internal Audit",Data Scientist,excel,1
"Associate, Data Science, Internal Audit",Data Scientist,SQL,1
"Associate, Data Science, Internal Audit",Data Scientist,sas,1
Senior LiDAR Data Scientist,Data Scientist,Python,1
Senior LiDAR Data Scientist,Data Scientist,aws,1
Product Engineer – Spatial Data Science and Statistical Analysis,Data Scientist,spark,1
Product Engineer – Spatial Data Science and Statistical Analysis,Data Scientist,excel,1
Product Engineer – Spatial Data Science and Statistical Analysis,Data Scientist,scikit,1
"Director II, Data Science - GRS Predictive Analytics",Data Scientist,Python,1
"Director II, Data Science - GRS Predictive Analytics",Data Scientist,sas,1
Senior Data Scientist 4 Artificial Intelligence,Data Scientist,tensor,1
Geospatial Software Developer and Data Scientist,Data Scientist,Python,1
Geospatial Software Developer and Data Scientist,Data Scientist,keras,1
Geospatial Software Developer and Data Scientist,Data Scientist,pytorch,1
Geospatial Software Developer and Data Scientist,Data Scientist,scikit,1
Geospatial Software Developer and Data Scientist,Data Scientist,tensor,1
Director Data Science,Data Scientist,Python,1
Director Data Science,Data Scientist,aws,1
Geospatial Software Developer and Data Scientist,Data Scientist,aws,1
Senior Data Scientist 4 Artificial Intelligence,Data Scientist,pytorch,1
Product Engineer – Spatial Data Science and Statistical Analysis,Data Scientist,tensor,1
Sr Software Engineer (Data Scientist),Data Scientist,excel,1
Sr Software Engineer (Data Scientist),Data Scientist,SQL,1
Sr Software Engineer (Data Scientist),Data Scientist,pytorch,1
Sr Software Engineer (Data Scientist),Data Scientist,tensor,1
Senior Data Scientist Artificial Intelligence,Data Scientist,pytorch,1
Senior Data Scientist Artificial Intelligence,Data Scientist,tensor,1
Product Engineer – Spatial Data Science and Statistical Analysis,Data Scientist,pytorch,1
Director Data Science,Data Scientist,excel,1
"Senior Manager, Epidemiologic Data Scientist",Data Scientist,excel,1
Product Engineer – Data Science,Data Scientist,SQL,1
Data Analytics Project Manager,Data Scientist,excel,1
Product Engineer – Data Science,Data Scientist,Python,1
Computational Chemist/Data Scientist,Data Scientist,Python,1
Revenue Analytics Manager,Data Scientist,tableau,1
Revenue Analytics Manager,Data Scientist,SQL,1
"Senior Manager, Epidemiologic Data Scientist",Data Scientist,aws,1
Revenue Analytics Manager,Data Scientist,excel,1
Senior Data Scientist - R&D Oncology,Data Scientist,Python,1
"Director II, Data Science - GRM Actuarial",Data Scientist,Python,1
"Director II, Data Science - GRM Actuarial",Data Scientist,sas,1
Senior Insurance Data Scientist,Data Scientist,Python,1
Senior Insurance Data Scientist,Data Scientist,excel,1
Senior Insurance Data Scientist,Data Scientist,SQL,1
Senior Insurance Data Scientist,Data Scientist,sas,1
Director Data Science,Data Scientist,SQL,1
Director Data Science,Data Scientist,Business_Intelligence,1
Manager of Data Science,Data Scientist,SQL,1
Manager of Data Science,Data Scientist,scikit,1
Manager of Data Science,Data Scientist,tensor,1
Software Engineer (Data Scientist/Software Engineer) - SISW - MG,Data Scientist,Python,1
Software Engineer (Data Scientist/Software Engineer) - SISW - MG,Data Scientist,excel,1
Software Engineer (Data Scientist/Software Engineer) - SISW - MG,Data Scientist,keras,1
Software Engineer (Data Scientist/Software Engineer) - SISW - MG,Data Scientist,tensor,1
Manager of Data Science,Data Scientist,spark,1
Data Science Manager,Data Scientist,Python,1
Data Science Manager,Data Scientist,SQL,1
Manager of Data Science,Data Scientist,Python,1
Product Manager/Data Evangelist,Data Scientist,Python,1
Product Manager/Data Evangelist,Data Scientist,aws,1
Product Manager/Data Evangelist,Data Scientist,SQL,1
Data Scientist (Warehouse Automation),Data Scientist,SQL,1
Data Scientist (Warehouse Automation),Data Scientist,tableau,1
Data Scientist (Warehouse Automation),Data Scientist,Business_Intelligence,1
Jr. Data Scientist,Data Scientist,Python,1
Jr. Data Scientist,Data Scientist,spark,1
Jr. Data Scientist,Data Scientist,excel,1
Jr. Data Scientist,Data Scientist,SQL,1
Jr. Data Scientist,Data Scientist,sas,1
Data Scientist (Warehouse Automation),Data Scientist,aws,1
Jr. Data Scientist,Data Scientist,hadoop,1
